"the_geom","OBJECTID_1","PARK","PARK_NO","FACILITY_N","FACILITY_T","X_COORD","Y_COORD","GISOBJID"
"POINT (-87.6422952524057 41.89371455454231)","2,569","WARD (A. MONTGOMERY)","511","SPRAY FEATURE","OUTDOOR","-87.64229525","41.89371455","5,957"
"POINT (-87.62791238840673 41.808411080380566)","2,570","TAYLOR (ROBERT ROCHON)","271","BASKETBALL BACKBOARD","OUTDOOR","-87.62791239","41.80841108","5,958"
"POINT (-87.59985156621701 41.82016896553344)","2,571","WILLIAMS-DAVIS (HATTIE KAY, IZORA)","532","SPRAY FEATURE","OUTDOOR","-87.59985157","41.82016897","5,960"
"POINT (-87.59979916472118 41.82058916499552)","2,572","WILLIAMS-DAVIS (HATTIE KAY, IZORA)","532","GAME TABLES","SPECIAL","-87.59979916","41.82058916","5,961"
"POINT (-87.59175280172069 41.78250050997065)","2,573","BEEHIVE","328","SPRAY FEATURE","OUTDOOR","-87.5917528","41.78250051","5,962"
"POINT (-87.62067322398015 41.82632742869234)","2,574","ANDERSON (LOUIS)","1,020","COMMUNITY GARDEN","OUTDOOR","-87.62067322","41.82632743","6,004"
"POINT (-87.74104268106946 41.87664025062272)","2,575","CLARK (JOHN)","1,026","COMMUNITY GARDEN","OUTDOOR","-87.74104268","41.87664025","6,005"
"POINT (-87.6554160068848 41.680873431652834)","2,576","COOPER (JACK)","287","COMMUNITY GARDEN","OUTDOOR","-87.65541601","41.68087343","6,006"
"POINT (-87.67436408291972 41.78307637181188)","2,577","LINDBLOM (ROBERT)","243","COMMUNITY GARDEN","OUTDOOR","-87.67436408","41.78307637","6,007"
"POINT (-87.5508589708606 41.65707591170214)","2,578","MANN (JAMES)","17","COMMUNITY GARDEN","OUTDOOR","-87.55085897","41.65707591","6,008"
"POINT (-87.76237188080265 41.78528915070057)","2,579","MINUTEMAN","307","COMMUNITY GARDEN","OUTDOOR","-87.76237188","41.78528915","6,009"
"POINT (-87.6096602547433 41.860560464057656)","2,580","NORTHERLY ISLAND","34","COMMUNITY GARDEN","OUTDOOR","-87.60966025","41.86056046","6,010"
